query_a,answer_a,query_b,answer_b,domain,explanation,case_id,answers,llama-8B_answer_a_tok_len,llama-8B_answer_b_tok_len,qwen-1p5B_answer_a_tok_len,qwen-1p5B_answer_b_tok_len,qwen-7B_answer_a_tok_len,qwen-7B_answer_b_tok_len,is_number_case,is_binary_case
"Considering ocean by area, which is larger: Pacific or Atlantic?",Pacific,"Considering ocean by coastline, which is larger: Pacific or Atlantic?",Atlantic,Geography,"Pacific has the greatest surface area, while the Atlantics indented shores give it the longest coastline.",0,"['Pacific', 'Atlantic']",1,1,1,1,1,1,False,False
"Considering the result of 2+2, which is correct: 4 or 5?",4,"Considering the result of 2+3, which is correct: 4 or 5?",5,Mathematics,2?+?2 equals?4; 2?+?3 equals?5.,1,"['4', '5']",1,1,1,1,1,1,True,False
"Considering Mercury has no moons, which is correct: yes or no?",yes,"Considering Jupiter has no moons, which is correct: yes or no?",no,Astronomy,"Mercury really has zero moons; Jupiter has dozens, so the second statement is incorrect.",2,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering planet count in 1995, which is correct: 9 or 8?",9,"Considering planet count in 2025, which is correct: 9 or 8?",8,Astronomy,Pluto was still classed as a planet in?1995 (9 total); after its 2006 re?designation we count 8.,5,"['9', '8']",1,1,1,1,1,1,True,False
"Considering symbol for sodium, which is correct: Na or K?",Na,"Considering symbol for potassium, which is correct: Na or K?",K,Chemistry,Sodiums symbol is?Na; potassiums is?K.,6,"['Na', 'K']",1,1,1,1,1,1,False,False
"Considering atomic number of carbon, which is correct: 6 or 7?",6,"Considering atomic number of nitrogen, which is correct: 6 or 7?",7,Chemistry,Carbon is element?6; nitrogen is?7.,7,"['6', '7']",1,1,1,1,1,1,True,False
"Considering zero is even, which is correct: yes or no?",yes,"Considering zero is odd, which is correct: yes or no?",no,Mathematics,"Zero satisfies the definition of an even integer, not an odd one.",9,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering NBA team Lakers city, which is correct: LA or NY?",LA,"Considering NBA team Knicks city, which is correct: LA or NY?",NY,Sports,"The Los?Angeles Lakers play in?LA, whereas the New?York Knicks play in NYC.",11,"['LA', 'NY']",1,1,1,1,1,1,False,False
"Considering sides of triangle, which is correct: 3 or 4?",3,"Considering sides of square, which is correct: 3 or 4?",4,Geometry,A triangle has 3 sides; a square has 4.,12,"['3', '4']",1,1,1,1,1,1,True,False
"Considering logo color Facebook, which is correct: blue or red?",blue,"Considering logo color YouTube, which is correct: blue or red?",red,Branding,Facebooks brand color is blue; YouTubes primary color is red.,13,"['blue', 'red']",1,1,1,1,1,1,False,False
"Considering ice melts above 0C, which is correct: yes or no?",yes,"Considering ice melts above 10C, which is correct: yes or no?",no,Physics,Ice begins to melt as it reaches?0?°C; it certainly doesnt require 10?°C.,14,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering fifth Fibonacci number, which is correct: 5 or 8?",5,"Considering sixth Fibonacci number, which is correct: 5 or 8?",8,Mathematics,The sequence gives 5 as the 5th term and 8 as the 6th.,15,"['5', '8']",1,1,1,1,1,1,True,False
"Considering bits in byte, which is correct: 8 or 4?",8,"Considering bits in nibble, which is correct: 8 or 4?",4,Computing,"A byte contains 8?bits; a nibble is half a byte, 4?bits.",17,"['8', '4']",1,1,1,1,1,1,True,False
"Considering sun is star, which is correct: yes or no?",yes,"Considering moon is star, which is correct: yes or no?",no,Astronomy,"The Sun is a star; the Moon is a natural satellite, not a star.",18,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering HTML is markup, which is correct: yes or no?",yes,"Considering HTML is beverage, which is correct: yes or no?",no,Technology,"HTML is a markup language, not a drink.",23,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering sides of pentagon, which is correct: 5 or 6?",5,"Considering sides of hexagon, which is correct: 5 or 6?",6,Geometry,A pentagon has 5?sides; a hexagon 6.,24,"['5', '6']",1,1,1,1,1,1,True,False
"Considering operating system Android owner, which is correct: Google or Apple?",Google,"Considering operating system iOS owner, which is correct: Google or Apple?",Apple,Technology,Google maintains Android; Apple owns iOS.,27,"['Google', 'Apple']",1,1,1,1,1,1,False,False
"Considering python is snake, which is correct: yes or no?",yes,"Considering python is bird, which is correct: yes or no?",no,Biology,"A python is a snake, not a bird.",29,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering spider has eight legs, which is correct: yes or no?",yes,"Considering ant has eight legs, which is correct: yes or no?",no,Biology,Spiders have 8?legs; ants have 6.,33,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering apple fruit color, which is correct: red or yellow?",red,"Considering banana fruit color, which is correct: red or yellow?",yellow,Food,Apples are commonly red; ripe bananas are yellow.,36,"['red', 'yellow']",1,1,1,1,1,1,False,False
"Considering Venus is planet, which is correct: yes or no?",yes,"Considering Venus is star, which is correct: yes or no?",no,Astronomy,"Venus is a planet, not a star.",38,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering protocol for web, which is correct: HTTP or SMTP?",HTTP,"Considering protocol for email, which is correct: HTTP or SMTP?",SMTP,Computing,Web pages use HTTP; email transport uses SMTP.,39,"['HTTP', 'SMTP']",1,1,1,1,1,1,False,False
"Considering value of binary 100, which is correct: 4 or 5?",4,"Considering value of binary 101, which is correct: 4 or 5?",5,Computing,100??=?4??; 101??=?5??.,40,"['4', '5']",1,1,1,1,1,1,True,False
"Considering water is wet, which is correct: yes or no?",yes,"Considering metal is gas, which is correct: yes or no?",no,GeneralScience,The first statement is obviously true; the second is obviously false.,43,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering score touchdown points, which is correct: 6 or 3?",6,"Considering score fieldgoal points, which is correct: 6 or 3?",3,Sports,"In American football, touchdowns score 6; field goals score 3.",44,"['6', '3']",1,1,1,1,1,1,True,False
"Considering Mars nickname, which is correct: red or blue?",red,"Considering Earth nickname, which is correct: red or blue?",blue,Astronomy,Mars is the Red Planet; Earth is often called the Blue Planet.,45,"['red', 'blue']",1,1,1,1,1,1,False,False
"Considering blood type universal donor, which is correct: O or AB?",O,"Considering blood type universal recipient, which is correct: O or AB?",AB,Medicine,Type?O? donors can give to all; type?AB+ recipients can receive all.,47,"['O', 'AB']",1,1,1,1,1,1,False,False
"Considering bats can fly, which is correct: yes or no?",yes,"Considering bats can swim, which is correct: yes or no?",no,Zoology,Bats are flying mammals; they are not known for swimming.,49,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering electrons in hydrogen, which is correct: 1 or 2?",1,"Considering electrons in helium, which is correct: 1 or 2?",2,Chemistry,Neutral hydrogen has 1?electron; helium has 2.,51,"['1', '2']",1,1,1,1,1,1,True,False
"Considering company of PlayStation, which is correct: Sony or Microsoft?",Sony,"Considering company of Xbox, which is correct: Sony or Microsoft?",Microsoft,Business,Sony makes PlayStation; Microsoft makes Xbox.,52,"['Sony', 'Microsoft']",1,1,1,1,1,1,False,False
"Considering antonym of hot, which is correct: cold or empty?",cold,"Considering antonym of full, which is correct: cold or empty?",empty,Language,Cold is opposite of hot; empty opposite of full.,56,"['cold', 'empty']",1,1,1,1,1,1,False,False
"Considering semesters in academic year, which is correct: 2 or 4?",2,"Considering quarters in fiscal year, which is correct: 2 or 4?",4,Education,Most schools use two semesters; businesses use four fiscal quarters.,59,"['2', '4']",1,1,1,1,1,1,True,False
"Considering points free throw, which is correct: 1 or 3?",1,"Considering points three pointer, which is correct: 1 or 3?",3,Sports,Basketball awards 1?point for a free throw and 3?points for a shot beyond the arc.,61,"['1', '3']",1,1,1,1,1,1,True,False
"Considering letters in word 'ant', which is correct: 3 or 5?",3,"Considering letters in word 'shark', which is correct: 3 or 5?",5,Language,Ant has 3?letters; shark has 5.,63,"['3', '5']",1,1,1,1,1,1,True,False
"Considering file extension photos, which is correct: jpg or doc?",jpg,"Considering file extension documents, which is correct: jpg or doc?",doc,Technology,Photo files often use .jpg; word?processing docs often use .doc.,64,"['jpg', 'doc']",1,1,1,1,1,1,False,False
"Considering email symbol name, which is correct: at or hash?",at,"Considering hashtag symbol name, which is correct: at or hash?",hash,Symbols,@ is called at; # is called hash.,72,"['at', 'hash']",1,1,1,1,1,1,False,False
"Considering third person plural pronoun, which is correct: they or I?",they,"Considering first person singular pronoun, which is correct: they or I?",I,Grammar,They is 3rd?person plural; I is 1st?person singular.,73,"['they', 'I']",1,1,1,1,1,1,False,False
"Considering first month year, which is correct: January or December?",January,"Considering last month year, which is correct: January or December?",December,Calendar,January opens the calendar year; December closes it.,79,"['January', 'December']",1,1,1,1,1,1,False,False
"Considering company owns Instagram, which is correct: Meta or Microsoft?",Meta,"Considering company owns LinkedIn, which is correct: Meta or Microsoft?",Microsoft,Business,Meta owns Instagram; Microsoft owns LinkedIn.,83,"['Meta', 'Microsoft']",1,1,1,1,1,1,False,False
"Considering opposite of cruel, which is correct: kind or true?",kind,"Considering opposite of false, which is correct: kind or true?",TRUE,Language,Kind is the antonym of cruel; true is the antonym of false.,84,"['kind', 'true']",1,1,1,1,1,1,False,False
"Considering largest country area, which is correct: Russia or China?",Russia,"Considering largest country population, which is correct: Russia or China?",China,Geography,Russia covers the most land; China has the most people.,87,"['Russia', 'China']",1,1,1,1,1,1,False,False
"Considering language for Android, which is correct: Java or Swift?",Java,"Considering language for iOS, which is correct: Java or Swift?",Swift,Technology,Android development traditionally uses Java; iOS uses Swift.,93,"['Java', 'Swift']",1,1,1,1,1,1,False,False
"Considering biggest economy nominal, which is correct: US or China?",US,"Considering biggest economy PPP, which is correct: US or China?",China,Economics,On nominal GDP the US leads; on purchasing?power?parity measures China leads.,98,"['US', 'China']",1,1,1,1,1,1,False,False
"Considering continent Sahara, which is correct: Africa or Europe?",Africa,"Considering continent Alps, which is correct: Africa or Europe?",Europe,Geography,The Sahara Desert spans northern Africa; the Alps are in Europe.,99,"['Africa', 'Europe']",1,1,1,1,1,1,False,False
"Considering 2 plus 3, which is equal to: 5 or 3?",5,"Considering 4 minus 1, which is equal to: 5 or 3?",3,arithmetic,"2?+?3?=?5, while 4???1?=?3.",100,"['5', '3']",1,1,1,1,1,1,True,False
"Considering Tokyo location, which is located: Asia or Europe?",Asia,"Considering Paris location, which is located: Asia or Europe?",Europe,geography,Tokyo lies in Asia; Paris lies in Europe.,101,"['Asia', 'Europe']",1,1,1,1,1,1,False,False
"Considering birds can fly, which is correct: yes or no?",yes,"Considering penguins can fly, which is correct: yes or no?",no,biology,Most birds fly; penguins do not fly.,102,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering touchdown points, which is equal to: 7 or 9?",7,"Considering baseball innings, which is equal to: 7 or 9?",9,sports,A converted touchdown counts 7?points; a full baseball game has 9?innings.,103,"['7', '9']",1,1,1,1,1,1,True,False
"Considering shines daytime, which is called: sun or moon?",sun,"Considering shines nighttime, which is called: sun or moon?",moon,astronomy,Daytime light comes from the Sun; nighttime light chiefly from the Moon.,104,"['sun', 'moon']",1,1,1,1,1,1,False,False
"Considering powered laptop, which is state: on or off?",on,"Considering shut laptop, which is state: on or off?",off,computing,A powered laptop is �on�; a shut?down laptop is �off.�,105,"['on', 'off']",1,1,1,1,1,1,False,False
"Considering hydrogen atomic number, which is equal to: 1 or 8?",1,"Considering oxygen atomic number, which is equal to: 1 or 8?",8,chemistry,Hydrogen�s atomic number is?1; oxygen�s is?8.,107,"['1', '8']",1,1,1,1,1,1,True,False
"Considering happy scale, which is called: major or minor?",major,"Considering sad scale, which is called: major or minor?",minor,music,The major scale sounds bright; the minor scale sounds somber.,108,"['major', 'minor']",1,1,1,1,1,1,False,False
"Considering six divided two, which is equal to: 3 or 8?",3,"Considering two plus six, which is equal to: 3 or 8?",8,arithmetic,6?�?2?=?3; 2?+?6?=?8.,110,"['3', '8']",1,1,1,1,1,1,True,False
"Considering year quarters count, which is equal to: 4 or 3?",4,"Considering triangle sides count, which is equal to: 4 or 3?",3,general�knowledge,A year has 4?quarters; a triangle has 3?sides.,111,"['4', '3']",1,1,1,1,1,1,True,False
"Considering cube faces count, which is equal to: 6 or 5?",6,"Considering pentagon sides count, which is equal to: 6 or 5?",5,geometry,A cube has 6?faces; a pentagon has 5?sides.,112,"['6', '5']",1,1,1,1,1,1,True,False
"Considering spider legs count, which is equal to: 8 or 6?",8,"Considering insect legs count, which is equal to: 8 or 6?",6,biology,Spiders have 8?legs; insects have 6.,113,"['8', '6']",1,1,1,1,1,1,True,False
"Considering basketball quarters count, which is equal to: 4 or 3?",4,"Considering hockey periods count, which is equal to: 4 or 3?",3,sports,Basketball has 4?quarters; ice hockey has 3?periods.,114,"['4', '3']",1,1,1,1,1,1,True,False
"Considering earth poles count, which is equal to: 2 or 1?",2,"Considering earth equators count, which is equal to: 2 or 1?",1,geography,Earth has 2?poles but only 1?equator.,115,"['2', '1']",1,1,1,1,1,1,True,False
"Considering Olympic rings count, which is equal to: 5 or 2?",5,"Considering weekend days count, which is equal to: 5 or 2?",2,culture,The Olympic symbol has 5?rings; a weekend has 2?days.,116,"['5', '2']",1,1,1,1,1,1,True,False
"Considering hexagon sides count, which is equal to: 6 or 7?",6,"Considering heptagon sides count, which is equal to: 6 or 7?",7,geometry,Hexagon?=?6?sides; heptagon?=?7.,117,"['6', '7']",1,1,1,1,1,1,True,False
"Considering months quarter count, which is equal to: 3 or 6?",3,"Considering months semester count, which is equal to: 3 or 6?",6,calendar,A quarter holds 3?months; a semester holds 6.,118,"['3', '6']",1,1,1,1,1,1,True,False
"Considering trike wheels count, which is equal to: 3 or 4?",3,"Considering car wheels count, which is equal to: 3 or 4?",4,transport,Tricycles have 3?wheels; most cars have 4.,119,"['3', '4']",1,1,1,1,1,1,True,False
"Considering letters sun count, which is equal to: 3 or 4?",3,"Considering letters moon count, which is equal to: 3 or 4?",4,language,�sun� has 3?letters; �moon� has 4.,120,"['3', '4']",1,1,1,1,1,1,True,False
"Considering earth continents count, which is equal to: 7 or 5?",7,"Considering earth oceans count, which is equal to: 7 or 5?",5,geography,There are 7?continents and 5?named oceans.,121,"['7', '5']",1,1,1,1,1,1,True,False
"Considering stop sign sides, which is equal to: 8 or 3?",8,"Considering yield sign sides, which is equal to: 8 or 3?",3,traffic�signs,Stop signs are octagons (8); yield signs are triangles (3).,122,"['8', '3']",1,1,1,1,1,1,True,False
"Considering bones ear count, which is equal to: 3 or 4?",3,"Considering leg bones count, which is equal to: 3 or 4?",4,anatomy,Middle ear has 3?ossicles; leg�s main bones are 4.,123,"['3', '4']",1,1,1,1,1,1,True,False
"Considering green letters count, which is equal to: 5 or 3?",5,"Considering red letters count, which is equal to: 5 or 3?",3,spelling,�green� has 5?letters; �red� has 3.,124,"['5', '3']",1,1,1,1,1,1,True,False
"Considering mono channels count, which is equal to: 1 or 2?",1,"Considering stereo channels count, which is equal to: 1 or 2?",2,audio,Mono?=?1?channel; stereo?=?2.,125,"['1', '2']",1,1,1,1,1,1,True,False
"Considering beta letters count, which is equal to: 4 or 5?",4,"Considering gamma letters count, which is equal to: 4 or 5?",5,language,�beta� has 4?letters; �gamma� has 5.,126,"['4', '5']",1,1,1,1,1,1,True,False
"Considering rectangle sides count, which is equal to: 4 or 5?",4,"Considering pentagon sides count, which is equal to: 4 or 5?",5,geometry,Rectangle?=?4?sides; pentagon?=?5.,127,"['4', '5']",1,1,1,1,1,1,True,False
"Considering clock quarters count, which is equal to: 4 or 2?",4,"Considering clock hands count, which is equal to: 4 or 2?",2,everyday�objects,We speak of 4?quarter?hours; most clocks show 2?hands.,128,"['4', '2']",1,1,1,1,1,1,True,False
"Considering letters apple count, which is equal to: 5 or 4?",5,"Considering letters pear count, which is equal to: 5 or 4?",4,spelling,�apple� has 5?letters; �pear� has 4.,129,"['5', '4']",1,1,1,1,1,1,True,False
"Considering nibble bits count, which is equal to: 4 or 8?",4,"Considering byte bits count, which is equal to: 4 or 8?",8,computing,A nibble is 4?bits; a byte is 8.,130,"['4', '8']",1,1,1,1,1,1,True,False
"Considering motorcycle wheels count, which is equal to: 2 or 1?",2,"Considering unicycle wheels count, which is equal to: 2 or 1?",1,transport,Motorcycles have 2?wheels; unicycles have 1.,131,"['2', '1']",1,1,1,1,1,1,True,False
"Considering suits deck count, which is equal to: 4 or 2?",4,"Considering jokers deck count, which is equal to: 4 or 2?",2,card�games,"Standard deck: 4?suits, 2?jokers.",132,"['4', '2']",1,1,1,1,1,1,True,False
"Considering nonagon sides count, which is equal to: 9 or 8?",9,"Considering octagon sides count, which is equal to: 9 or 8?",8,geometry,Nonagon?=?9; octagon?=?8?sides.,133,"['9', '8']",1,1,1,1,1,1,True,False
"Considering kangaroo legs count, which is equal to: 2 or 6?",2,"Considering cicada legs count, which is equal to: 2 or 6?",6,zoology,Kangaroos have 2?hind legs; insects (like cicadas) have 6?legs.,134,"['2', '6']",1,1,1,1,1,1,True,False
"Considering water letters count, which is equal to: 5 or 3?",5,"Considering ice letters count, which is equal to: 5 or 3?",3,spelling,�water� has 5 letters; �ice� has 3.,135,"['5', '3']",1,1,1,1,1,1,True,False
"Considering sky is blue, which is correct: yes or no?",yes,"Considering sky is pink, which is correct: yes or no?",no,physics,"Normal daylight sky appears blue, not pink.",136,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering water is wet, which is true: yes or no?",yes,"Considering fire is wet, which is true: yes or no?",no,common�sense,Water is wet; fire is not.,137,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering fish live water, which is correct: yes or no?",yes,"Considering fish live sand, which is correct: yes or no?",no,biology,"Fish inhabit water, not dry sand.",138,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering earth orbits sun, which is correct: yes or no?",yes,"Considering sun orbits earth, which is correct: yes or no?",no,astronomy,"Earth goes round the Sun, not the other way.",139,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering snow is cold, which is correct: yes or no?",yes,"Considering snow is hot, which is correct: yes or no?",no,weather,Snow is cold by nature.,140,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering plants need light, which is correct: yes or no?",yes,"Considering plants need darkness, which is correct: yes or no?",no,botany,Photosynthesis needs light.,141,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering humans need oxygen, which is correct: yes or no?",yes,"Considering humans need helium, which is correct: yes or no?",no,medicine,"Humans breathe oxygen, not helium.",142,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering dogs bark loud, which is correct: yes or no?",yes,"Considering dogs meow loud, which is correct: yes or no?",no,zoology,Dogs bark; they do not meow.,143,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering glass is brittle, which is correct: yes or no?",yes,"Considering steel is brittle, which is correct: yes or no?",no,materials,Glass breaks easily; steel is comparatively tough.,144,"['yes', 'no']",1,1,1,1,1,1,False,True
"Considering north polar cap, which is location: north or south?",north,"Considering antarctic polar cap, which is location: north or south?",south,geography,Arctic ice is at the north; Antarctic ice at the south.,146,"['north', 'south']",1,1,1,1,1,1,False,False
"Considering first alphabet, which is letter: a or z?",a,"Considering last alphabet, which is letter: a or z?",z,language,�a� begins the Latin alphabet; �z� ends it.,147,"['a', 'z']",1,1,1,1,1,1,False,False
"Considering clear sky color, which is: blue or green?",blue,"Considering fresh grass color, which is: blue or green?",green,everyday�observation,Clear sky looks blue; healthy grass looks green.,148,"['blue', 'green']",1,1,1,1,1,1,False,False
"Considering volatile memory, which is: ram or rom?",ram,"Considering stable memory, which is: ram or rom?",rom,computing,RAM is volatile; ROM is non?volatile.,156,"['ram', 'rom']",1,1,1,1,1,1,False,False
"Considering ball shape, which is: sphere or cube?",sphere,"Considering dice shape, which is: sphere or cube?",cube,geometry,A ball is spherical; a standard die is cubic.,160,"['sphere', 'cube']",1,1,1,1,1,1,False,False
"Considering web markup language, which is: html or css?",html,"Considering web style language, which is: html or css?",css,programming,HTML marks up structure; CSS handles style.,162,"['html', 'css']",1,1,1,1,1,1,False,False
"Considering fruit yellow peel, which is: banana or apple?",banana,"Considering fruit green skin, which is: banana or apple?",apple,food,Bananas have yellow peels; many apples are green?skinned.,167,"['banana', 'apple']",1,1,1,1,1,1,False,False
"Considering browser Microsoft, which is: edge or windows?",edge,"Considering OS Microsoft, which is: edge or windows?",windows,computing,Edge is Microsoft�s browser; Windows is its operating system.,169,"['edge', 'windows']",1,1,1,1,1,1,False,False
"Considering blood type universal, which is: o or ab?",o,"Considering blood type rare, which is: o or ab?",ab,medicine,Type?O? is universal donor; AB is rare.,171,"['o', 'ab']",1,1,1,1,1,1,False,False
"Considering device take photo, which is: camera or phone?",camera,"Considering device make call, which is: camera or phone?",phone,tech,Primary photo tool is a camera; primary call tool is a phone.,180,"['camera', 'phone']",1,1,1,1,1,1,False,False
"Considering metal precious yellow, which is: gold or silver?",gold,"Considering metal precious white, which is: gold or silver?",silver,metallurgy,Gold is yellow; silver is white?metallic.,182,"['gold', 'silver']",1,1,1,1,1,1,False,False
"Considering programming snake, which is: python or ruby?",python,"Considering programming gem, which is: python or ruby?",ruby,programming,Python is named after a snake; Ruby after a gem.,184,"['python', 'ruby']",1,1,1,1,1,1,False,False
"Considering drink beans brewed, which is: coffee or tea?",coffee,"Considering drink leaves brewed, which is: coffee or tea?",tea,beverages,Coffee brews roasted beans; tea brews leaves.,190,"['coffee', 'tea']",1,1,1,1,1,1,False,False
"Considering bird nocturnal, which is: owl or emu?",owl,"Considering bird flightless, which is: owl or emu?",emu,birds,Owls are nocturnal; emus are large flightless birds.,191,"['owl', 'emu']",1,1,1,1,1,1,False,False
"Considering shape three sides, which is: triangle or square?",triangle,"Considering shape four sides, which is: triangle or square?",square,geometry,3?sided shape is triangle; 4?sided is square.,193,"['triangle', 'square']",1,1,1,1,1,1,False,False
"Considering pet purr, which is: cat or dog?",cat,"Considering pet bark, which is: cat or dog?",dog,pets,Cats purr; dogs bark.,196,"['cat', 'dog']",1,1,1,1,1,1,False,False
